City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,orange,33.7,-117.7675,23.04,40,20,2.06,US,1675558201
148,pervomayskoye,43.919,46.7102,-0.35,92,92,4.28,RU,1675558240
149,kavaratti,10.5669,72.642,27.32,66,6,1.06,IN,1675558241
150,pingxiang,27.6167,113.85,7.89,93,100,0.66,CN,1675558241
151,arraial do cabo,-22.9661,-42.0278,24.95,90,14,4.62,BR,1675558183
152,bijie,27.3125,105.2942,6.32,87,97,1.02,CN,1675558242
153,aksha,50.2814,113.2867,-19.26,95,52,1.75,RU,1675558242
154,sobolevo,54.4299,31.8996,-6.07,94,99,5.02,RU,1675558063
155,cidreira,-30.1811,-50.2056,22.65,74,9,2.33,BR,1675558134
156,limaong,7.3606,122.3664,26.7,79,100,3.04,PH,1675558244
157,korla,41.7597,86.1469,-4.21,71,0,0.55,CN,1675557983
158,esperance,-33.8667,121.9,24.36,46,0,5.01,AU,1675558113
159,port elizabeth,-33.918,25.5701,27.16,50,0,6.17,ZA,1675558138
160,cockburn town,21.4612,-71.1419,24.98,69,40,6.17,TC,1675558123
161,virginia beach,36.8529,-75.978,0.01,70,0,3.6,US,1675558245
162,tessalit,20.1986,1.0114,14.99,16,30,4.68,ML,1675558246
163,maniitsoq,65.4167,-52.9,-16.41,83,100,5.21,GL,1675558247
164,athabasca,54.7169,-113.2854,2.23,96,99,2.48,CA,1675558247
165,tuatapere,-46.1333,167.6833,17.07,98,100,0.8,NZ,1675558216
166,tsiroanomandidy,-18.7667,46.0333,19.21,96,100,0.53,MG,1675558248
167,avarua,-21.2078,-159.775,29.03,79,40,6.69,CK,1675557953
168,mar del plata,-38.0023,-57.5575,20.05,72,0,2.24,AR,1675557893
169,podor,16.6527,-14.9587,20.97,40,0,1.03,MR,1675558250
170,ixtapa,20.7,-105.2,24.57,78,20,4.63,MX,1675558185
171,kirakira,-10.4544,161.9205,28.62,80,100,0.96,SB,1675558251
172,miri,4.4148,114.0089,26.08,83,20,1.54,MY,1675557853
173,kresna,41.7333,23.15,-0.87,88,100,5.23,BG,1675558251
174,turukhansk,65.8167,87.9833,-13.51,96,100,3.53,RU,1675558252
175,kulhudhuffushi,6.6221,73.07,26.85,77,88,1.89,MV,1675558252
176,matveyevka,52.15,56.1833,-19.12,94,95,2.19,RU,1675558253
177,jiangyou,31.7667,104.7167,10.04,70,100,0.9,CN,1675558254
178,ostrovnoy,68.0531,39.5131,-12.15,88,94,5.11,RU,1675558254
179,kalmunai,7.4167,81.8167,24.8,84,98,3.99,LK,1675558255
180,oum hadjer,13.2954,19.6966,22.18,11,34,4.34,TD,1675558255
181,sangar,63.9242,127.4739,-31.28,99,100,0.49,RU,1675558256
182,la seyne-sur-mer,43.0982,5.8847,10.49,72,0,1.87,FR,1675558256
183,buraydah,26.326,43.975,12.25,37,0,4.72,SA,1675558228
184,faanui,-16.4833,-151.75,27.44,73,43,7.81,PF,1675558230
185,east london,-33.0153,27.9116,23.68,80,100,6.04,ZA,1675558258
186,san andres,12.5847,-81.7006,27.01,69,40,5.14,CO,1675557946
187,selfoss,63.9331,-20.9971,1.69,99,100,10.12,IS,1675557899
188,les cayes,18.2,-73.75,23.19,76,0,2.58,HT,1675558260
189,port hedland,-20.3167,118.5667,32.03,51,8,6.17,AU,1675558260
190,strezhevoy,60.7333,77.5889,-22.1,100,100,1.71,RU,1675558261
191,kiunga,-6.1219,141.2906,24.66,95,100,1.12,PG,1675558261
192,leningradskiy,69.3833,178.4167,-31.27,98,100,1.9,RU,1675558263
193,wajir,1.7471,40.0573,23.46,67,90,6.37,KE,1675558265
194,saskylakh,71.9167,114.0833,-32.97,97,100,1.56,RU,1675558266
195,nagato,34.3833,131.2,7.31,50,25,1.55,JP,1675558267
196,berlevag,70.8578,29.0864,-7.0,79,20,5.14,NO,1675558269
197,vidim,56.4088,103.1106,-23.14,100,100,1.6,RU,1675558271
198,axim,4.8699,-2.2405,25.76,88,9,3.05,GH,1675558272
199,tiksi,71.6872,128.8694,-30.7,100,100,1.22,RU,1675557924
200,saint-louis,16.3333,-15.0,20.8,12,100,5.07,SN,1675558241
201,broome,42.2506,-75.833,-6.75,57,0,5.14,US,1675558276
202,airai,-8.9266,125.4092,18.98,79,96,1.44,TL,1675558277
203,daru,-9.0763,143.2092,24.68,92,100,3.77,PG,1675557678
204,chifeng,42.2683,118.9636,-4.42,34,100,2.03,CN,1675558280
205,saint-pierre,-21.3393,55.4781,24.82,78,0,3.09,RE,1675558281
206,hualmay,-11.0964,-77.6139,22.64,80,100,3.31,PE,1675558283
207,yashkul,46.1711,45.3435,-0.45,77,100,3.06,RU,1675558285
208,chulym,55.0997,80.9572,-22.31,100,100,1.99,RU,1675558289
209,san patricio,28.017,-97.5169,18.08,72,1,3.25,US,1675558291
210,longyearbyen,78.2186,15.6401,-8.09,57,0,11.83,SJ,1675558048
211,coxim,-18.5067,-54.76,23.95,90,100,1.5,BR,1675558292
212,paciran,-6.8767,112.3761,26.53,82,100,3.58,ID,1675558293
213,klaksvik,62.2266,-6.589,5.51,76,94,11.83,FO,1675558293
214,khash,28.2211,61.2158,9.15,67,0,2.34,IR,1675558042
215,dargaville,-35.9333,173.8833,25.0,57,95,2.11,NZ,1675558213
216,nizhnyaya maktama,54.8636,52.4281,-11.53,89,100,0.84,RU,1675558294
217,chicama,-7.8447,-79.1469,20.3,70,70,2.32,PE,1675558295
218,kenai,60.5544,-151.2583,-3.28,85,100,3.09,US,1675558296
219,sabang,5.8933,95.3214,27.64,73,33,7.0,ID,1675558296
220,lac du bonnet,50.2536,-96.0612,-12.96,95,100,2.35,CA,1675558297
221,zyryanka,65.75,150.85,-29.49,98,100,1.72,RU,1675557876
222,tara,56.8944,74.371,-18.37,100,100,0.7,RU,1675558298
223,hofn,64.2539,-15.2082,1.06,80,100,5.46,IS,1675558298
224,granadilla de abona,28.1188,-16.576,12.89,64,75,6.17,ES,1675558299
225,pitkyaranta,61.5734,31.4792,-20.94,100,65,1.53,RU,1675558299
226,georgetown,5.4112,100.3354,25.96,88,20,2.57,MY,1675557676
227,ploemeur,47.7333,-3.4333,8.23,83,100,0.0,FR,1675558301
228,mahebourg,-20.4081,57.7,26.16,83,40,1.54,MU,1675558081
229,batagay,67.6333,134.6333,-40.89,99,100,0.61,RU,1675558302
230,soyo,-6.1349,12.3689,25.84,88,100,3.85,AO,1675558302
